,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
12713, Focus,2018,12299,Manual,21680,Diesel,145,74.3,1.5,0.22363851259205383
12714, Fiesta,2018,12999,Automatic,32366,Petrol,145,54.3,1.0,0.23636694244931358
12715, Fiesta,2019,14499,Manual,7564,Petrol,145,58.9,1.0,0.26364214928629875
12716, Fiesta,2019,14499,Manual,12744,Petrol,145,55.4,1.0,0.26364214928629875
12717, Fiesta,2019,14499,Manual,12847,Petrol,145,55.4,1.0,0.26364214928629875
12718, Fiesta,2019,14499,Manual,7800,Petrol,145,58.9,1.0,0.26364214928629875
12719, Fiesta,2019,14499,Manual,8386,Petrol,145,58.9,1.0,0.26364214928629875
12720, Fiesta,2017,8499,Manual,14988,Petrol,150,64.2,1.1,0.15454132193835804
12721, Focus,2013,5499,Manual,56230,Petrol,20,58.9,1.0,0.09999090826438767
12722, Fiesta,2018,9299,Manual,33615,Petrol,145,65.7,1.0,0.16908809891808346
12723, Focus,2017,10499,Manual,37073,Diesel,145,74.3,1.5,0.1909082643876716
12724, Focus,2017,9999,Manual,35293,Diesel,0,74.3,1.5,0.1818165287753432
12725, S-MAX,2016,16299,Automatic,16974,Diesel,145,52.3,2.0,0.29637239749068095
12726, Focus,2018,13499,Manual,11277,Petrol,145,57.7,1.0,0.24545867806164196
12727, Kuga,2019,19199,Manual,13610,Petrol,145,35.3,1.5,0.34910446404218565
12728, Fiesta,2018,12499,Automatic,37127,Petrol,145,54.3,1.0,0.22727520683698518
12729, EcoSport,2017,8999,Manual,31190,Diesel,30,64.2,1.5,0.16363305755068644
12730, Kuga,2018,19499,Semi-Auto,1514,Diesel,145,58.9,1.5,0.3545595054095827
12731, Fiesta,2019,13999,Manual,2818,Petrol,145,58.9,1.0,0.25455041367397035
12732, Focus,2019,18299,Manual,2667,Petrol,145,49.6,1.0,0.33273933993999455
12733, Kuga,2017,12799,Manual,18727,Petrol,160,45.6,1.5,0.2327302482043822
12734, Fiesta,2018,12999,Manual,5406,Petrol,145,62.8,1.0,0.23636694244931358
12735, Focus,2017,9999,Manual,53112,Diesel,145,74.3,1.5,0.1818165287753432
12736, Kuga,2019,17299,Manual,6379,Diesel,145,38.2,2.0,0.31455586871533775
12737, Fiesta,2019,15499,Manual,7450,Petrol,145,58.9,1.0,0.28182562051095555
12738, Fiesta,2015,6999,Manual,45693,Petrol,0,65.7,1.0,0.12726611510137284
12739, Focus,2018,13799,Manual,17478,Diesel,145,74.3,1.5,0.250913719429039
12740, Focus,2018,13499,Manual,21898,Diesel,145,74.3,1.5,0.24545867806164196
12741, Ka+,2018,8799,Manual,12553,Petrol,145,43.5,1.2,0.15999636330575506
12742, Grand C-MAX,2016,10799,Manual,18887,Petrol,30,54.3,1.0,0.19636330575506863
12743, Fiesta,2019,10299,Manual,41959,Diesel,145,58.9,1.5,0.18727157014274026
12744, Focus,2019,15299,Manual,8016,Petrol,145,58.9,1.0,0.2781889262660242
12745, Fiesta,2019,14499,Semi-Auto,5692,Petrol,145,48.7,1.0,0.26364214928629875
12746, Fiesta,2019,13399,Manual,5525,Petrol,145,56.5,1.0,0.24364033093917628
12747, Kuga,2015,9700,Manual,63000,Diesel,125,60.1,2.0,0.17637967087917084
12748, Fiesta,2017,10000,Manual,22000,Petrol,150,65.7,1.0,0.18183471224656786
12749, Fiesta,2018,11600,Manual,7733,Petrol,150,65.7,1.0,0.21092826620601873
12750, EcoSport,2017,11000,Manual,10069,Petrol,125,53.3,1.0,0.20001818347122466
